player,rumoured_club,successful
Carlos Tevez,Inter Milan,False
Steven N'Kemboanza Mike,Arsenal F.C.,False
Mauricio Aníbal Isla Isla,Inter Milan,False
Danny Sean Guthrie,Aston Villa F.C.,False
Stephen Hunt,Celtic F.C.,False
Jordi Alba,Chelsea,False
Nedum Onuoha,Queens Park Rangers,True
Mathieu Debuchy,Newcastle United F.C.,True
Jefferson Farfán,Chelsea,False
Diego Forlán,Sport Club Internacional,True
Matías Agustín Silvestre,A.C. Milan,True
Younès Belhanda,Arsenal F.C.,False
Ismaïl Aissati,SBV Vitesse,True
Fábio Aurélio Rodrigues,Grêmio,True
Kieran Edward Richardson,Everton,False
Mathieu Debuchy,Bayern Munich,False
Christian Dannemann Eriksen,Manchester United,False
Jéferson Gomes do Nascimento,Sporting CP,False
James David Rodríguez Rubio,Manchester United,False
Yann M'Vila,Inter Milan,True
Jordan Ayew,Saint-Étienne,False
Osvaldo Nicolás Fabián Gaitán,Manchester City F.C.,False
Victor Moses,Chelsea,True
Salomon Armand Magloire Kalou,Feyenoord,True
Claudio Pizarro,OFK Bor,False
Francisco Javier García Fernández,Liverpool F.C.,False
Jack Grimmer,Fulham F.C.,True
Szabolcs Huszti,West Bromwich Albion F.C.,False
Niko Kranjčar,Dynamo Kyiv,True
Robin van Persie,Juventus,False
Pepe Reina,A.C. Milan,False
João Pereira,Valencia CF,True
François Joseph Modesto,SC Bastia,True
Roberto Soldado,Napoli,False
Lucas Barrios,Fulham F.C.,False
Hadj Bouguèche,Al-Raed Saudi F.C.,False
Nedum Onuoha,Queens Park Rangers,True
Mathieu Debuchy,Manchester United,False
Rumen Tsvetanov Trifonov,Ruch Chorzów S.A.,False
Steven Jerome Pienaar,Everton,True
Moussa Sissoko,Inter Milan,False
Leon Julian Brendan Best,Aston Villa F.C.,False
Stéphane Sessègnon,Arsenal F.C.,False
Brett Trevor Holman,Aston Villa F.C.,True
Kevin Cyril Davies,Sunderland AFC,False
Burim Emir Bajrami,West Bromwich Albion F.C.,False
Christopher Samba,Queens Park Rangers,True
David Wayne Hoilett,OFK Bor,False
Maicon Douglas Sisenando,Real Madrid C.F.,False
Paulo Machado,SC Bastia,False
Adriano Vieira Louzada,FC Porto,True
Hatem Ben Arfa,Chelsea,False
Tom Rogic,Sydney F.C.,False
Gary Alexis Medel Soto,Real Madrid C.F.,False
Rodrigo Palacio,Inter Milan,True
Daniel Andre Sturridge,Arsenal F.C.,False
Claudio Pizarro,Bayern Munich,True
Sambou Yatabaré,SC Bastia,True
Grant Holt,Aston Villa F.C.,True
Jack Butland,Southampton F.C.,False
Edin Džeko,Bayern Munich,False
(香川 真司),Manchester United,True
Edin Džeko,Juventus,False
Bernard Mendy,Aarhus Gymnastikforening,False
Claudemir Jerônimo Barreto,FC Schalke 04,False
Pavel Pogrebnyak,West Bromwich Albion F.C.,False
Gastón Ramírez,Manchester City F.C.,False
Jan Bert Lieve Vertonghen,FC Barcelona,False
Kostas Manolas,Everton,False
Claudio Pizarro,FC Schalke 04,False
Bakaye Traoré,A.C. Milan,True
Nilmar,Dynamo Kyiv,False
Federico Macheda,S.L. Benfica,False
Dejan Lovren,Liverpool F.C.,True
Leighton Baines,Manchester United,False
Ritchie Ria Alfons De Laet,Leicester City,True
Victor Moses,Queens Park Rangers,False
Guilherme Madalena Siqueira,Valencia CF,True
Evaeverson Lemos da Silva,Al-Arabi SC,False
Dirk Kuyt,Feyenoord,True
Hugo Andrés Rodallega Camacho,Fulham F.C.,True
Thiago Motta,Flamengo,False
Jordi Alba,FC Barcelona,True
Foued Kadir,Real Sociedad,False
Olivier Giroud,Bayern Munich,False
Mark Peter Gertruda Andreas van Bommel,PSV Eindhoven,True
Michael Ballack,Queens Park Rangers,False
Robin van Persie,Real Madrid C.F.,False
Nacer Chadli,Fulham F.C.,False
Fredy Guarín,Juventus,False
Dirk Kuyt,Hamburger SV,False
Nikica Jelavić,Liverpool F.C.,False
Robert Green,Queens Park Rangers,True
Clément Chantôme,Fulham F.C.,False
Robson de Souza,Málaga,False
OFK Bor,Borussia Dortmund,False
Adil Rami,Manchester United,False
Bastian Schweinsteiger,Real Madrid C.F.,False
Borja Valero,Málaga,False
Axel Witsel,Chelsea,False
Branislav Ivanović,Real Madrid C.F.,False
Mohamed Diamé,Kayseri Spor Kulübü,False
Liam Ridgewell,West Bromwich Albion F.C.,True
Karl Levi Daniel Henry,Aston Villa F.C.,False
Mathieu Debuchy,Real Madrid C.F.,False
Jores Okore,Liverpool F.C.,False
Aly Cissokho,Napoli,False
Nikica Jelavić,Everton,True
André Horst Schürrle,Chelsea,True
Javi Martínez,Bayern Munich,True
Taye Taiwo,Queens Park Rangers,True
Lewis Harry Holtby,Arsenal F.C.,False
Javi Martínez,Manchester City F.C.,False
Mamadou Niang,Olympique de Marseille,True
Billy Sharp,Southampton F.C.,True
Séamus John James Given,Queens Park Rangers,False
Jeremiah Akaminko,Fulham F.C.,False
Tongo Doumbia,West Bromwich Albion F.C.,False
Toby Alderweireld,Manchester United,False
Magaye Serigne Falilou,Stade Brestois 29,True
Kolo Touré,SS Lazio,False
Mauro Matías Zárate Riga,Dynamo Kyiv,False
Louis Saha,Bidvest Wits F.C.,False
Taye Taiwo,Dynamo Kyiv,True
Renato Augusto,Flamengo,True
Kwadwo Asamoah,Juventus,True
Salomon Armand Magloire Kalou,FC Schalke 04,False
Peter Odemwingie,Fulham F.C.,False
Sascha Riether,Fulham F.C.,True
João Moutinho,Paris Saint-Germain,False
Antolín Alcaraz,Sportfreunde Siegen,False
Kim Mikael Källström,Spartak Moscow,True
Djibril Cissé,Queens Park Rangers,True
Robert Lewandowski,Manchester United,False
Mamadou Niang,Beşiktaş,True
Lukas Josef Podolski,OFK Bor,False
José Bosingwa,Roma,False
Juan Sebastián Agudelo,Celtic F.C.,False
Romain Amalfitano,Newcastle United F.C.,True
Flamengo,Thiago Emiliano da Silva,False
Tranquillo Barnetta,FC Schalke 04,True
Timothy Filiga Cahill,Al-Nasr Sports Club,False
Florian Thauvin,Olympique de Marseille,True
Zlatan Muslimović,Sunderland AFC,False
Matías Agustín Silvestre,Inter Milan,False
Jermaine Lloyd Pennant,Wolverhampton Wanderers F.C.,False
Giovani dos Santos,Valencia CF,False
Evaeverson Lemos da Silva,Rubin Kazan,False
Markel Susaeta Laskurain,Manchester United,False
Dídac Vilà Rosselló,Valencia CF,False
Moussa Sissoko,Queens Park Rangers,False
Júlio César Soares de Espíndola,Tottenham Hotspur,False
David Wayne Hoilett,Arsenal F.C.,False
Neymar,Real Madrid C.F.,False
Liverpool F.C.,Fabio Borini,False
Maurice Exslager,1. FC Union,False
Nicolas Nkoulou,Chelsea,False
Carlos Vela,Cruz Azul,False
Karim Ansarifard,VfL Bochum,False
Cristian Cuevas,Chelsea,True
David Wayne Hoilett,Sunderland AFC,False
Nathaniel Clyne,Manchester City F.C.,False
Wayne Michael Bridge,Reading F.C.,True
Konstantin Rausch,VfB Stuttgart,True
Emile William Ivanhoe Heskey,Blackpool F.C.,False
Leandro de Deus Santos,Aston Villa F.C.,False
Brek Shea,Stoke City,True
Joshua Mark McEachran,Middlesbrough F.C.,True
Nicholas Edward Powell,Manchester United,True
Iago Aspas,Liverpool F.C.,True
Marko Marin,OFK Bor,False
Franco Jara,S.L. Benfica,True
Adil Rami,Chelsea,False
Guillaume Hoarau,Sunderland AFC,False
Andrés Guardado,Valencia CF,True
Esteban Granero,Queens Park Rangers,True
Cristian Tello Herrera,OFK Bor,False
Lucas Rodrigo Biglia,SS Lazio,True
Michel Vorm,Liverpool F.C.,False
Nilmar,Sport Club Internacional,True
Kevin De Bruyne,Sportfreunde Siegen,True
George Jan Boyd,Nottingham Forest F.C.,True
Breno,Bayern Munich,True
Younès Belhanda,Tottenham Hotspur,False
Bruno Miguel Borges Fernandes,Udinese Calcio SpA,True
Georgi Ventsislavov Milanov,Fulham F.C.,False
Mathieu Flamini,Southampton F.C.,False
Timm Klose,VfL Wolfsburg,True
Sergio Leonel Agüero,Real Madrid C.F.,False
Andrei Arshavin,FC Dynamo Moscow,False
Rui Patrício,Arsenal F.C.,False
Axel Witsel,Manchester United,False
Nani,Juventus,False
Tal Ben Haim,Queens Park Rangers,True
Simon Luc,Arsenal F.C.,False
Rafinha,Celta de Vigo,False
Timm Klose,Hamburger SV,False
Tijane Freitas Reis,Stoke City,False
Fernando Llorente,Manchester City F.C.,False
Robin van Persie,Manchester United,True
Reza Haghighi Shandiz,Dynamo Kyiv,False
Edin Džeko,Chelsea,False
El Hadji Diouf,Fulham F.C.,False
Étienne Capoue,Queens Park Rangers,False
Danny Welbeck,Reading F.C.,False
Taye Taiwo,S.L. Benfica,False
Emanuel Pogatetz,Fulham F.C.,False
"Edu Maurice Edu, Jr.",Stoke City,True
Ivelin Ivanov Popov,Aston Villa F.C.,False
Cristian Tello Herrera,AFC Ajax,False
Geoffrey Agundogbia S.P,Real Madrid C.F.,False
Fabio Borini,ACF Fiorentina,False
Carlos Eduardo de Oliveira Alves,Fluminense F.C.,False
Mickaël Zidro Tavares,Fulham F.C.,True
Philipp Hosiner,FC Barcelona,False
Florian Thauvin,Newcastle United F.C.,True
Andrei Arshavin,Al Sadd SC,False
Guillaume Hoarau,Everton,False
Bruno Martins Indi,Valencia CF,False
Yann M'Vila,Rubin Kazan,True
James Troisi,West Bromwich Albion F.C.,False
Francisco Román Alarcón Suárez,Chelsea,False
Christian Dannemann Eriksen,OFK Bor,False
Clément Chantôme,Olympique Lyonnais,False
Gino Peruzzi Lucchetti,Manchester City F.C.,False
Aleksandr Aleksandrovich Kokorin,Zenit Saint Petersburg,True
Gerard Deulofeu Lázaro,Sevilla FC,True
Jores Okore,Fulham F.C.,False
Sportfreunde Siegen,Nils Petersen,False
El Hadji Diouf,West Bromwich Albion F.C.,False
Sekou Jabateh Oliseh,PAOK FC,False
Giovani dos Santos,Inter Milan,False
Igor de Camargo,Everton,False
Royston Drenthe,FC Spartak Vladikavkaz,False
Gaël Kakuta,Olympique de Marseille,False
Christian Benteke Liolo,Aston Villa F.C.,True
Antonio Adán Garrido,Levante UD,False
Kieran Edward Richardson,Queens Park Rangers,False
James McFadden,Fulham F.C.,False
F.C. Bolat,Fulham F.C.,False
Ákos Buzsáky,Bristol City F.C.,False
Nathaniel Clyne,Chelsea,False
Moussa Sissoko,Tottenham Hotspur,True
Kieran Edward Richardson,Fulham F.C.,True
Felipe Melo,Flamengo,True
Siaka Tiéné,Beşiktaş,False
Milo,Arsenal F.C.,False
Per Mertesacker,VfL Wolfsburg,False
Stefanos Kapino,Napoli,False
Goran Popov,West Bromwich Albion F.C.,True
Joan Isaac Cuenca López,Arsenal F.C.,False
Sergi Roberto,AFC Ajax,False
Juan Román Riquelme,Boca Juniors,True
Jean II Makoun,Stade Rennais,True
Eliseu,S.L. Benfica,True
Michel Bastos,Al-Gharafa,False
Federico Peluso,Juventus,True
Javi Martínez,Arsenal F.C.,False
Bartosz Salamon,Manchester United,False
Tony Jantschke,Sevilla FC,False
Luca Toni,Málaga,False
F.C. Bolat,Beşiktaş,False
Brede Paulsen Hangeland,Manchester United,False
William Donald Grigg,Aston Villa F.C.,False
Kevin Edward Doyle,Aston Villa F.C.,False
Adrian Mutu,AC Ajaccio,True
Joan Isaac Cuenca López,AFC Ajax,True
Taye Taiwo,Inter Milan,False
Alessandro Del Piero,Sydney F.C.,True
Adriano Vieira Louzada,Paris Saint-Germain,False
Andrew Lonergan,Bolton Wanderers F.C.,True
Kaka,Los Angeles Galaxy,False
Marko Arnautović,ACF Fiorentina,False
Lisandro López,ACF Fiorentina,False
George Elokobi,Bristol City F.C.,True
Asmir Begović,Arsenal F.C.,False
Goran Popov,Stoke City,False
Gastón Ramírez,Liverpool F.C.,False
Samir Handanović,FC Barcelona,False
Yoan Gouffran,Newcastle United F.C.,True
Cristian Zaccardo,A.C. Milan,True
Hatem Ben Arfa,Liverpool F.C.,False
Vadis Odjidja-Ofoe,Fulham F.C.,False
Aly Cissokho,Valencia CF,True
Jacob Butterfield,Crystal Palace,True
Andros Townsend,Queens Park Rangers,True
Jordan Bowery,Aston Villa F.C.,True
Michu,Liverpool F.C.,False
Vurnon Anita,Sunderland AFC,False
Wayne Michael Bridge,Queens Park Rangers,False
Bafétimbi Gomis,Chelsea,False
Ross Barkley,Sheffield Wednesday F.C.,True
Matty Kennedy,Everton,True
Kurt Happy Zouma,Queens Park Rangers,False
Mario Sampirisi,Chelsea,False
Mikkel Andersen,Portsmouth F.C.,True
José Manuel Rueda,Wolfsberger AC,False
Lucas Digne,Manchester City F.C.,False
Scott Dann,Queens Park Rangers,False
Adel Taarabt,A.C. Milan,True
Charlie Green,Fulham F.C.,False
Alan Yelizbarovich Dzagoev,Tottenham Hotspur,False
Jack Rodwell,Manchester City F.C.,True
João Moutinho,Manchester United,False
Francisco Román Alarcón Suárez,Manchester City F.C.,False
Aras Özbiliz,FC Dynamo Moscow,False
Jean-Jacques Gosso Gosso,Bursaspor,False
El Hadji Diouf,VfL Wolfsburg,False
Yosef Shai Benayoun,Liverpool F.C.,True
Pablo Daniel Osvaldo,Napoli,False
Jacques Zoua Daogari,Hamburger SV,True
Georgios Karagounis,Melbourne Victory F.C.,False
OIH,FC Barcelona,True
Stoppila Sunzu,Reading F.C.,False
John Guidetti,Aston Villa F.C.,False
Federico Balzaretti,Roma,True
Francisco Román Alarcón Suárez,Arsenal F.C.,False
Somen Tchoyi,Wolverhampton Wanderers F.C.,False
Juan Francisco Torres Belén,Real Betis,False
Ivan Rakitić,Spartak Moscow,False
Kevin Phillips,Crystal Palace,True
Allan James McGregor,Beşiktaş,True
Michal Kadlec,Fulham F.C.,False
Moritz Leitner,VfB Stuttgart,True
Bebé,Rio Ave F.C.,True
Vincent Jean Mpoy Kompany,FC Barcelona,False
Maicon Douglas Sisenando,Chelsea,False
André Morgan Rami Ayew,Manchester United,False
Stéphane Mbia Etoundi,Chelsea,False
John Guidetti,Feyenoord,True
Steven Naismith,Everton,True
Nick Blackman,Crystal Palace,False
Lars Bender,Manchester United,False
Matías Ezequiel Suárez,Napoli,False
Dedé,Cruzeiro,False
Arkadiusz Milik,Bayer 04 Leverkusen,True
Rogelio Gabriel Funes Mori,FC Barcelona,False
Jordan Rhodes,Fulham F.C.,False
Nicolás Pareja,Sevilla FC,True
Craig Gordon,Everton,False
Timothy Filiga Cahill,Everton,True
André Weis,FC Ingolstadt 04,True
Yannick Sagbo,Fulham F.C.,False
Yann M'Vila,Zenit Saint Petersburg,False
Fernando Gabriel Amorebieta Mardaras,Fulham F.C.,True
Mario Götze,Bayern Munich,True
Darren Bent,Stoke City,False
Toby Alderweireld,Liverpool F.C.,False
Manu,Villarreal,False
Daniel Carvajal,Real Madrid C.F.,True
Peer Kluge,Hertha BSC,True
Nicklas Bendtner,Málaga,False
Michael John Kightly,Stoke City,True
Didier Drogba,Juventus,False
Costel Pantilimon,ACF Fiorentina,False
André,Red Bull Salzburg,True
Craig Alexander Goodwin,Reading F.C.,False
Jack Butland,Everton,False
Mauricio Ezequiel Sperduti,Palermo,True
Jorge Teixeira,S.S. Robur Siena,True
Jesús Navas González,Arsenal F.C.,False
Loïc Rémy,Queens Park Rangers,True
John Stones,Everton,True
Yosef Shai Benayoun,Fulham F.C.,False
Marcos Alonso Mendoza,ACF Fiorentina,True
Éder,Arsenal F.C.,False
Samuel Edward Thomas Baldock,Bristol City F.C.,True
Sammy Clingan,Charlton Athletic F.C.,False
Novothny Soma,Watford F.C.,False
Kaspars Gorkšs,Wolverhampton Wanderers F.C.,True
Daniel Agger,Real Madrid C.F.,False
Luis Alberto Romero,Liverpool F.C.,True
Jermain Defoe,Queens Park Rangers,False
Mario Gómez García,Napoli,False
Ryo Miyaichi,Wigan Athletic F.C.,True
Sebastian Rode,Bayern Munich,True
Rubén Rochina Naixes,Real Zaragoza,True
Luis Pedro Cavanda,Sunderland AFC,False
Andreas Ivanschitz,Levante UD,True
Sylvain Armand,Stade Rennais,False
Rata Mudo,Rayo Vallecano,True
Aboubakar Oumarou,Union of Juveniles Sports Club,False
Urby Vitorrio Diego Emanuelson,Fulham F.C.,True
Raul Andrei Rusescu,Sevilla FC,True
Guillaume Hoarau,Dalian Yifang F.C.,False
Daniel Agger,Manchester City F.C.,False
Diego Mario Buonanotte Rende,Granada 74 CF,False
Callum Henry McManaman,Liverpool F.C.,False
Elderson Echiéjilé,VfB Stuttgart,False
Mario Balotelli,Juventus,False
Beñat Etxebarria Urkiaga,VfL Wolfsburg,False
Jeremain Marciano Lens,Dynamo Kyiv,True
Sylvain Armand,S.L. Benfica,False
Dazet Wilfried Armel Zaha,Wigan Athletic F.C.,False
John Guidetti,Málaga,False
Mario Gómez García,ACF Fiorentina,True
Václav Kadlec,FC Schalke 04,False
Valentin Roberge,Sunderland AFC,True
Éric Abidal,Bayern Munich,False
Guillermo Varela Olivera,Manchester United,True
Danny Graham,Middlesbrough F.C.,True
Fraser Anderson Fyvie,Wigan Athletic F.C.,True
Francisco Javier García Fernández,Manchester City F.C.,True
Adam Maher,AFC Ajax,False
Paulo Machado,Rubin Kazan,False
Tom Huddlestone,Fulham F.C.,False
Leroy Halirou Bohari Lita,Sheffield Wednesday F.C.,True
Jan Kirchhoff,Bayern Munich,True
Nacho Monreal,Arsenal F.C.,True
Romelu Lukaku,Fulham F.C.,False
Ronaldo de Assis Moreira,Beşiktaş,False
Angelo Ogbonna,Manchester United,False
Paolo Guerrero,Rubin Kazan,False
Mapou Yanga-Mbiwa,Arsenal F.C.,False
Sami Khedira,Chelsea,False
Artur Guilherme Moraes Gusmão,Everton,False
Jackson Arley Martínez Valencia,Zenit Saint Petersburg,False
Stephan El Shaarawy,Manchester City F.C.,False
Knowledge Musona,Breda,False
Theo Walcott,Manchester City F.C.,False
Henri Bienvenu Ntsama,Real Zaragoza,True
Kevin De Bruyne,Bayer 04 Leverkusen,False
Nick Blackman,Reading F.C.,True
Ángelo José Henríquez Iturra,Manchester United,True
Paulo Henrique Ganso,Sport Club Internacional,False
Yacouba Sylla,Aston Villa F.C.,True
Étienne Capoue,Zenit Saint Petersburg,False
Roque Santa Cruz,Málaga,True
Moussa Dembélé,Tottenham Hotspur,False
Guirane N'Daw,Ipswich Town F.C.,True
George Andrew Jordan Friend,Stoke City,False
Seydou Keita,Dalian Yifang F.C.,False
Álvaro Pereira,Inter Milan,True
Jermaine Anthony Jenas,Sunderland AFC,False
Angelo Ogbonna,Arsenal F.C.,False
Santi Cazorla,Tottenham Hotspur,False
Ezequiel Matías Schelotto,Manchester United,False
Andreas Evald Cornelius,OFK Bor,False
Michael Agazzi,ACF Fiorentina,False
Joe Cole,Queens Park Rangers,False
Samuel Inkoom,West Bromwich Albion F.C.,False
Adryan,SBV Vitesse,False
Daniele De Rossi,Manchester City F.C.,False
Michael Ballack,Western Sydney Wanderers,False
Fabrizio Miccoli,Al-Nasr Sports Club,False
Jackson Arley Martínez Valencia,OFK Bor,False
Fulham F.C.,Fulham F.C.,False
Curtis Eugene Davies,Queens Park Rangers,False
Philipp Hosiner,TSG 1899 Hoffenheim,False
Oriol Romeu Vidal,Celta de Vigo,False
Jonjo Shelvey,Stoke City,False
Ricardo Alexandre Martins Soares Pereira,Ricardo Carvalho,False
Juan Fernando Quintero Paniagua,Inter Milan,False
Bakary Sako,Fulham F.C.,False
Aymen Abdennour,FC Barcelona,False
Robert Lewandowski,SpVgg Unterhaching,False
Victor Wanyama,Arsenal F.C.,False
Kurt Happy Zouma,Manchester United,False
Samuel Umtiti,A.C. Milan,False
Yaya Sanogo,Arsenal F.C.,True
Daniel Peter Simpson,Reading F.C.,False
Liédson,FC Porto,True
Frederico André Ferrão Venâncio,Legia Warsaw,False
Christian Benítez,Tottenham Hotspur,False
Manuel Almunia,Watford F.C.,True
William Gallas,Queens Park Rangers,False
Mark Milligan,Queens Park Rangers,False
Djombo Dany-Gael N'Guessan,Charlton Athletic F.C.,True
Alejandro Faurlín,Palermo,True
Gaël Kakuta,Olympiacos,False
Neymar,FC Barcelona,True
Roberto Soldado,Napoli,False
Václav Kadlec,Arsenal F.C.,False
Sociedad Deportiva Amorebieta,Arsenal F.C.,False
Luciano Héctor Becchio,Norwich City F.C.,True
Felipe Anderson,SS Lazio,True
Kévin Gameiro,Lille Olympique Sporting Club,False
Carlos Bacca,Sevilla FC,True
Diego Martín Novaretti,SS Lazio,True
Lucas Rodrigo Biglia,Southampton F.C.,False
Hugo Lloris,Arsenal F.C.,False
Keisuke Honda,Sevilla FC,False
Nicklas Helenius Jensen,Aston Villa F.C.,True
Adrian Winter,Young Boys,False
Jack Butland,Fulham F.C.,False
Thomas Kahlenberg,Saint-Étienne,False
Hideto Takahashi,Manchester United,False
Steven N'Kemboanza Mike,Stoke City,True
Steven Davis,Southampton F.C.,True
Andrés Fernández Moreno,Real Madrid C.F.,False
Luis Alberto Suárez Díaz,Zenit Saint Petersburg,False
Demba Ba,Chelsea,True
Jamie Mackie,Stoke City,False
Nacho Monreal,Valencia CF,False
Amido Baldé,Celtic F.C.,True
Charlie Austin,Celtic F.C.,False
Darmstadt 98,Darmstadt 98,False
Fredy Guarín,Tottenham Hotspur,False
Bryan Oviedo,Everton,True
Marco Rodrigo Rojas,VfB Stuttgart,True
Carlos Eduardo de Oliveira Alves,Flamengo,False
Mario Götze,FC Barcelona,False
Ricardo Alexis Laborde León,Arsenal F.C.,False
Daniel Carvajal,Bayer 04 Leverkusen,True
Bakary Sako,Wolverhampton Wanderers F.C.,True
Deniz Aycicek,VfL Osnabrück,False
Lisandro López,FC Porto,True
Danny Sean Guthrie,Reading F.C.,True
Brede Paulsen Hangeland,Queens Park Rangers,False
Mubarak Wakaso,Everton,False
Christian Schneuwly,FC Thun,True
Leighton Baines,Tottenham Hotspur,False
Gonzalo Gerardo Higuaín,Arsenal F.C.,False
Philipp Hosiner,TSG 1899 Hoffenheim,False
Manuel Jesús Vázquez Florido,Real Betis,True
Robert Lewandowski,Arsenal F.C.,False
Paolo Guerrero,Napoli,False
